Year;LOCATION;VARIABLE;UNIT_MULT;FREQ;OBS_VALUE;TIME_FORMAT;UNIT_MEASURE
2001;Sri Lanka;Number of maternal deaths;Units;Annual;158.0;Annual;Number
2003;Sri Lanka;Number of maternal deaths;Units;Annual;146.0;Annual;Number
2008;Sri Lanka;Number of maternal deaths;Units;Annual;130.0;Annual;Number
2010;Sri Lanka;Number of maternal deaths;Units;Annual;125.0;Annual;Number
1990;Ukraine;Number of maternal deaths (upper bound);Units;Annual;260.0;Annual;Number
2001;Ukraine;Number of maternal deaths (upper bound);Units;Annual;164.0;Annual;Number
1991;Argentina;Number of maternal deaths;Units;Annual;428.0;Annual;Number
2000;Argentina;Number of maternal deaths;Units;Annual;431.0;Annual;Number
1995;Viet Nam;Number of maternal deaths (lower bound);Units;Annual;1402.0;Annual;Number
2007;Viet Nam;Number of maternal deaths (lower bound);Units;Annual;663.0;Annual;Number
1992;Ghana;Number of maternal deaths (lower bound);Units;Annual;1865.0;Annual;Number
1999;Ghana;Number of maternal deaths (lower bound);Units;Annual;2365.0;Annual;Number
2009;Ghana;Number of maternal deaths (lower bound);Units;Annual;2215.0;Annual;Number
2011;Ghana;Number of maternal deaths (lower bound);Units;Annual;1929.0;Annual;Number
1990;Estonia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;43.8;Annual;number of maternal deaths per 100,000 live births
1992;Estonia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;41.5;Annual;number of maternal deaths per 100,000 live births
1990;Iran, Islamic Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;75.6;Annual;number of maternal deaths per 100,000 live births
1994;Iran, Islamic Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;51.9;Annual;number of maternal deaths per 100,000 live births
2007;Iran, Islamic Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;23.9;Annual;number of maternal deaths per 100,000 live births
1999;Germany;Number of maternal deaths (lower bound);Units;Annual;87.0;Annual;Number
2000;Germany;Number of maternal deaths (lower bound);Units;Annual;89.0;Annual;Number
2001;Germany;Number of maternal deaths (lower bound);Units;Annual;86.0;Annual;Number
2007;Germany;Number of maternal deaths (lower bound);Units;Annual;71.0;Annual;Number
1991;Paraguay;Number of maternal deaths (upper bound);Units;Annual;216.0;Annual;Number
1993;Paraguay;Number of maternal deaths (upper bound);Units;Annual;209.0;Annual;Number
1994;Paraguay;Number of maternal deaths (upper bound);Units;Annual;201.0;Annual;Number
1996;Paraguay;Number of maternal deaths (upper bound);Units;Annual;187.0;Annual;Number
1999;Paraguay;Number of maternal deaths (upper bound);Units;Annual;189.0;Annual;Number
2000;Paraguay;Number of maternal deaths (upper bound);Units;Annual;196.0;Annual;Number
2004;Paraguay;Number of maternal deaths (upper bound);Units;Annual;210.0;Annual;Number
2006;Paraguay;Number of maternal deaths (upper bound);Units;Annual;205.0;Annual;Number
1992;Eritrea;Maternal mortality ratio (MMR);Units;Annual;1278.4;Annual;number of maternal deaths per 100,000 live births
2004;Eritrea;Maternal mortality ratio (MMR);Units;Annual;1171.5;Annual;number of maternal deaths per 100,000 live births
2007;Eritrea;Maternal mortality ratio (MMR);Units;Annual;1132.2;Annual;number of maternal deaths per 100,000 live births
1999;Belgium;Maternal mortality ratio (MMR) (lower bound);Units;Annual;10.0;Annual;number of maternal deaths per 100,000 live births
2000;Belgium;Maternal mortality ratio (MMR) (lower bound);Units;Annual;9.5;Annual;number of maternal deaths per 100,000 live births
2003;Belgium;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.0;Annual;number of maternal deaths per 100,000 live births
1993;Czech Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;13.8;Annual;number of maternal deaths per 100,000 live births
1994;Czech Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;13.1;Annual;number of maternal deaths per 100,000 live births
2000;Czech Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;11.3;Annual;number of maternal deaths per 100,000 live births
2002;Czech Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;10.7;Annual;number of maternal deaths per 100,000 live births
2004;Czech Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;10.2;Annual;number of maternal deaths per 100,000 live births
2006;Czech Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;9.8;Annual;number of maternal deaths per 100,000 live births
2010;Czech Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.7;Annual;number of maternal deaths per 100,000 live births
1992;Ukraine;Number of maternal deaths;Units;Annual;222.0;Annual;Number
1994;Ukraine;Number of maternal deaths;Units;Annual;214.0;Annual;Number
1995;Ukraine;Number of maternal deaths;Units;Annual;208.0;Annual;Number
1998;Ukraine;Number of maternal deaths;Units;Annual;154.0;Annual;Number
2006;Ukraine;Number of maternal deaths;Units;Annual;185.0;Annual;Number
1990;Niger;Number of maternal deaths (lower bound);Units;Annual;2095.0;Annual;Number
1992;Niger;Number of maternal deaths (lower bound);Units;Annual;2254.0;Annual;Number
1997;Niger;Number of maternal deaths (lower bound);Units;Annual;2724.0;Annual;Number
2001;Niger;Number of maternal deaths (lower bound);Units;Annual;3207.0;Annual;Number
2002;Niger;Number of maternal deaths (lower bound);Units;Annual;3303.0;Annual;Number
2004;Niger;Number of maternal deaths (lower bound);Units;Annual;3415.0;Annual;Number
1993;Barbados;Number of maternal deaths (lower bound);Units;Annual;2.0;Annual;Number
1999;Barbados;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2000;Barbados;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2003;Barbados;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2008;Barbados;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2009;Barbados;Number of maternal deaths (lower bound);Units;Annual;1.0;Annual;Number
2002;Sierra Leone;Number of maternal deaths;Units;Annual;1555.0;Annual;Number
2003;Sierra Leone;Number of maternal deaths;Units;Annual;1588.0;Annual;Number
2005;Sierra Leone;Number of maternal deaths;Units;Annual;1527.0;Annual;Number
2007;Sierra Leone;Number of maternal deaths;Units;Annual;1501.0;Annual;Number
1991;Malta;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2001;Malta;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2007;Malta;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
1992;Bahrain;Number of maternal deaths;Units;Annual;6.0;Annual;Number
1993;Bahrain;Number of maternal deaths;Units;Annual;6.0;Annual;Number
1995;Bahrain;Number of maternal deaths;Units;Annual;6.0;Annual;Number
2002;Bahrain;Number of maternal deaths;Units;Annual;4.0;Annual;Number
2004;Bahrain;Number of maternal deaths;Units;Annual;4.0;Annual;Number
2005;Korea, Democratic People's Republic of;Number of maternal deaths;Units;Annual;204.0;Annual;Number
2006;Korea, Democratic People's Republic of;Number of maternal deaths;Units;Annual;202.0;Annual;Number
2010;Korea, Democratic People's Republic of;Number of maternal deaths;Units;Annual;190.0;Annual;Number
1997;Zimbabwe;Number of maternal deaths (lower bound);Units;Annual;3605.0;Annual;Number
2010;Zimbabwe;Number of maternal deaths (lower bound);Units;Annual;1136.0;Annual;Number
1990;Maldives;Maternal mortality ratio (MMR) (upper bound);Units;Annual;433.3;Annual;number of maternal deaths per 100,000 live births
1994;Maldives;Maternal mortality ratio (MMR) (upper bound);Units;Annual;323.6;Annual;number of maternal deaths per 100,000 live births
1997;Maldives;Maternal mortality ratio (MMR) (upper bound);Units;Annual;255.0;Annual;number of maternal deaths per 100,000 live births
2005;Maldives;Maternal mortality ratio (MMR) (upper bound);Units;Annual;105.4;Annual;number of maternal deaths per 100,000 live births
1992;Niger;Maternal mortality ratio (MMR) (lower bound);Units;Annual;486.1;Annual;number of maternal deaths per 100,000 live births
1998;Niger;Maternal mortality ratio (MMR) (lower bound);Units;Annual;525.8;Annual;number of maternal deaths per 100,000 live births
2007;Niger;Maternal mortality ratio (MMR) (lower bound);Units;Annual;497.3;Annual;number of maternal deaths per 100,000 live births
2010;Niger;Maternal mortality ratio (MMR) (lower bound);Units;Annual;439.8;Annual;number of maternal deaths per 100,000 live births
1993;Tanzania, United Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;757.0;Annual;number of maternal deaths per 100,000 live births
1994;Tanzania, United Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;784.6;Annual;number of maternal deaths per 100,000 live births
1997;Tanzania, United Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;855.2;Annual;number of maternal deaths per 100,000 live births
2004;Tanzania, United Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;700.6;Annual;number of maternal deaths per 100,000 live births
2005;Tanzania, United Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;681.1;Annual;number of maternal deaths per 100,000 live births
2006;Tanzania, United Republic of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;653.1;Annual;number of maternal deaths per 100,000 live births
1991;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;1217.0;Annual;Number
1994;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;2459.0;Annual;Number
1995;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;3192.0;Annual;Number
1996;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;3882.0;Annual;Number
1998;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;5007.0;Annual;Number
1999;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;5364.0;Annual;Number
2003;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;4620.0;Annual;Number
2004;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;4322.0;Annual;Number
2005;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;4037.0;Annual;Number
2009;Zimbabwe;Number of maternal deaths (upper bound);Units;Annual;2637.0;Annual;Number
1992;Burundi;Number of maternal deaths;Units;Annual;2377.0;Annual;Number
1993;Burundi;Number of maternal deaths;Units;Annual;2511.0;Annual;Number
1994;Burundi;Number of maternal deaths;Units;Annual;2638.0;Annual;Number
1995;Burundi;Number of maternal deaths;Units;Annual;2795.0;Annual;Number
1996;Burundi;Number of maternal deaths;Units;Annual;2969.0;Annual;Number
2003;Burundi;Number of maternal deaths;Units;Annual;3339.0;Annual;Number
2009;Burundi;Number of maternal deaths;Units;Annual;2875.0;Annual;Number
1994;Armenia;Number of maternal deaths;Units;Annual;22.0;Annual;Number
1996;Armenia;Number of maternal deaths;Units;Annual;21.0;Annual;Number
2000;Armenia;Number of maternal deaths;Units;Annual;18.0;Annual;Number
2003;Armenia;Number of maternal deaths;Units;Annual;15.0;Annual;Number
2004;Armenia;Number of maternal deaths;Units;Annual;15.0;Annual;Number
2009;Armenia;Number of maternal deaths;Units;Annual;13.0;Annual;Number
2011;Armenia;Number of maternal deaths;Units;Annual;12.0;Annual;Number
1992;Dominica;Maternal mortality ratio (MMR);Units;Annual;50.9;Annual;number of maternal deaths per 100,000 live births
1993;Dominica;Maternal mortality ratio (MMR);Units;Annual;49.9;Annual;number of maternal deaths per 100,000 live births
1995;Dominica;Maternal mortality ratio (MMR);Units;Annual;49.1;Annual;number of maternal deaths per 100,000 live births
2002;Dominica;Maternal mortality ratio (MMR);Units;Annual;49.7;Annual;number of maternal deaths per 100,000 live births
2008;Dominica;Maternal mortality ratio (MMR);Units;Annual;41.7;Annual;number of maternal deaths per 100,000 live births
1991;Tonga;Maternal mortality ratio (MMR) (upper bound);Units;Annual;222.3;Annual;number of maternal deaths per 100,000 live births
1995;Tonga;Maternal mortality ratio (MMR) (upper bound);Units;Annual;209.5;Annual;number of maternal deaths per 100,000 live births
1997;Tonga;Maternal mortality ratio (MMR) (upper bound);Units;Annual;188.3;Annual;number of maternal deaths per 100,000 live births
2002;Tonga;Maternal mortality ratio (MMR) (upper bound);Units;Annual;139.3;Annual;number of maternal deaths per 100,000 live births
2003;Tonga;Maternal mortality ratio (MMR) (upper bound);Units;Annual;133.7;Annual;number of maternal deaths per 100,000 live births
2007;Tonga;Maternal mortality ratio (MMR) (upper bound);Units;Annual;114.1;Annual;number of maternal deaths per 100,000 live births
1991;Liberia;Number of maternal deaths;Units;Annual;541.0;Annual;Number
1992;Liberia;Number of maternal deaths;Units;Annual;561.0;Annual;Number
1993;Liberia;Number of maternal deaths;Units;Annual;604.0;Annual;Number
1996;Liberia;Number of maternal deaths;Units;Annual;895.0;Annual;Number
2002;Liberia;Number of maternal deaths;Units;Annual;1491.0;Annual;Number
2009;Liberia;Number of maternal deaths;Units;Annual;1460.0;Annual;Number
1992;Bahrain;Number of maternal deaths (lower bound);Units;Annual;5.0;Annual;Number
1999;Bahrain;Number of maternal deaths (lower bound);Units;Annual;4.0;Annual;Number
2004;Bahrain;Number of maternal deaths (lower bound);Units;Annual;3.0;Annual;Number
2009;Bahrain;Number of maternal deaths (lower bound);Units;Annual;3.0;Annual;Number
1993;Croatia;Number of maternal deaths (lower bound);Units;Annual;7.0;Annual;Number
1994;Croatia;Number of maternal deaths (lower bound);Units;Annual;7.0;Annual;Number
1998;Croatia;Number of maternal deaths (lower bound);Units;Annual;7.0;Annual;Number
1999;Croatia;Number of maternal deaths (lower bound);Units;Annual;7.0;Annual;Number
2006;Croatia;Number of maternal deaths (lower bound);Units;Annual;5.0;Annual;Number
2008;Croatia;Number of maternal deaths (lower bound);Units;Annual;5.0;Annual;Number
2011;Croatia;Number of maternal deaths (lower bound);Units;Annual;5.0;Annual;Number
1991;Ukraine;Maternal mortality ratio (MMR) (upper bound);Units;Annual;39.2;Annual;number of maternal deaths per 100,000 live births
1999;Ukraine;Maternal mortality ratio (MMR) (upper bound);Units;Annual;41.8;Annual;number of maternal deaths per 100,000 live births
2000;Ukraine;Maternal mortality ratio (MMR) (upper bound);Units;Annual;42.2;Annual;number of maternal deaths per 100,000 live births
2004;Ukraine;Maternal mortality ratio (MMR) (upper bound);Units;Annual;40.9;Annual;number of maternal deaths per 100,000 live births
2011;Ukraine;Maternal mortality ratio (MMR) (upper bound);Units;Annual;45.1;Annual;number of maternal deaths per 100,000 live births
2002;Brazil;Maternal mortality ratio (MMR) (lower bound);Units;Annual;58.0;Annual;number of maternal deaths per 100,000 live births
2005;Brazil;Maternal mortality ratio (MMR) (lower bound);Units;Annual;58.2;Annual;number of maternal deaths per 100,000 live births
2010;Brazil;Maternal mortality ratio (MMR) (lower bound);Units;Annual;53.4;Annual;number of maternal deaths per 100,000 live births
1991;Tonga;Maternal mortality ratio (MMR);Units;Annual;157.8;Annual;number of maternal deaths per 100,000 live births
1993;Tonga;Maternal mortality ratio (MMR);Units;Annual;154.3;Annual;number of maternal deaths per 100,000 live births
2004;Tonga;Maternal mortality ratio (MMR);Units;Annual;88.9;Annual;number of maternal deaths per 100,000 live births
2011;Tonga;Maternal mortality ratio (MMR);Units;Annual;80.8;Annual;number of maternal deaths per 100,000 live births
1993;Nepal;Number of maternal deaths;Units;Annual;3251.0;Annual;Number
1994;Nepal;Number of maternal deaths;Units;Annual;3239.0;Annual;Number
1997;Nepal;Number of maternal deaths;Units;Annual;3335.0;Annual;Number
1991;Bosnia and Herzegovina;Number of maternal deaths (lower bound);Units;Annual;12.0;Annual;Number
1992;Bosnia and Herzegovina;Number of maternal deaths (lower bound);Units;Annual;11.0;Annual;Number
2004;Poland;Maternal mortality ratio (MMR) (upper bound);Units;Annual;15.3;Annual;number of maternal deaths per 100,000 live births
1993;Slovakia;Maternal mortality ratio (MMR);Units;Annual;14.5;Annual;number of maternal deaths per 100,000 live births
1995;Slovakia;Maternal mortality ratio (MMR);Units;Annual;14.2;Annual;number of maternal deaths per 100,000 live births
2009;Slovakia;Maternal mortality ratio (MMR);Units;Annual;11.4;Annual;number of maternal deaths per 100,000 live births
1993;Belarus;Maternal mortality ratio (MMR);Units;Annual;29.4;Annual;number of maternal deaths per 100,000 live births
1990;Venezuela;Maternal mortality ratio (MMR) (upper bound);Units;Annual;77.4;Annual;number of maternal deaths per 100,000 live births
1998;Venezuela;Maternal mortality ratio (MMR) (upper bound);Units;Annual;64.3;Annual;number of maternal deaths per 100,000 live births
1999;Venezuela;Maternal mortality ratio (MMR) (upper bound);Units;Annual;65.8;Annual;number of maternal deaths per 100,000 live births
2006;Venezuela;Maternal mortality ratio (MMR) (upper bound);Units;Annual;68.5;Annual;number of maternal deaths per 100,000 live births
2005;Mexico;Maternal mortality ratio (MMR) (upper bound);Units;Annual;66.7;Annual;number of maternal deaths per 100,000 live births
1991;Thailand;Number of maternal deaths;Units;Annual;371.0;Annual;Number
2001;Thailand;Number of maternal deaths;Units;Annual;531.0;Annual;Number
1991;Saint Vincent and the Grenadines;Number of maternal deaths (upper bound);Units;Annual;2.0;Annual;Number
1999;Saint Vincent and the Grenadines;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2010;Saint Vincent and the Grenadines;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
1994;Fiji;Number of maternal deaths (lower bound);Units;Annual;11.0;Annual;Number
2004;New Zealand;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.5;Annual;number of maternal deaths per 100,000 live births
2006;New Zealand;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.8;Annual;number of maternal deaths per 100,000 live births
2007;New Zealand;Maternal mortality ratio (MMR) (lower bound);Units;Annual;8.6;Annual;number of maternal deaths per 100,000 live births
1997;Poland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;22.9;Annual;number of maternal deaths per 100,000 live births
2006;Poland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;10.9;Annual;number of maternal deaths per 100,000 live births
2010;Poland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;9.2;Annual;number of maternal deaths per 100,000 live births
1991;Belgium;Number of maternal deaths;Units;Annual;15.0;Annual;Number
2006;Belgium;Number of maternal deaths;Units;Annual;10.0;Annual;Number
2007;Belgium;Number of maternal deaths;Units;Annual;10.0;Annual;Number
2011;Belgium;Number of maternal deaths;Units;Annual;10.0;Annual;Number
1996;Czech Republic;Number of maternal deaths;Units;Annual;14.0;Annual;Number
1998;Czech Republic;Number of maternal deaths;Units;Annual;12.0;Annual;Number
2000;Czech Republic;Number of maternal deaths;Units;Annual;12.0;Annual;Number
2004;Czech Republic;Number of maternal deaths;Units;Annual;12.0;Annual;Number
2005;Czech Republic;Number of maternal deaths;Units;Annual;12.0;Annual;Number
2009;Czech Republic;Number of maternal deaths;Units;Annual;12.0;Annual;Number
1991;Barbados;Maternal mortality ratio (MMR) (upper bound);Units;Annual;65.6;Annual;number of maternal deaths per 100,000 live births
1993;Barbados;Maternal mortality ratio (MMR) (upper bound);Units;Annual;63.0;Annual;number of maternal deaths per 100,000 live births
1996;Barbados;Maternal mortality ratio (MMR) (upper bound);Units;Annual;59.1;Annual;number of maternal deaths per 100,000 live births
2007;Barbados;Maternal mortality ratio (MMR) (upper bound);Units;Annual;45.1;Annual;number of maternal deaths per 100,000 live births
2011;Barbados;Maternal mortality ratio (MMR) (upper bound);Units;Annual;42.3;Annual;number of maternal deaths per 100,000 live births
2007;Azerbaijan;Number of maternal deaths (upper bound);Units;Annual;78.0;Annual;Number
2009;Azerbaijan;Number of maternal deaths (upper bound);Units;Annual;70.0;Annual;Number
2011;Azerbaijan;Number of maternal deaths (upper bound);Units;Annual;61.0;Annual;Number
1994;Turkey;Number of maternal deaths;Units;Annual;1517.0;Annual;Number
2000;Turkey;Number of maternal deaths;Units;Annual;797.0;Annual;Number
2001;Turkey;Number of maternal deaths;Units;Annual;721.0;Annual;Number
2002;Turkey;Number of maternal deaths;Units;Annual;659.0;Annual;Number
2007;Turkey;Number of maternal deaths;Units;Annual;525.0;Annual;Number
1990;Eritrea;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1412.3;Annual;number of maternal deaths per 100,000 live births
1991;Eritrea;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1468.8;Annual;number of maternal deaths per 100,000 live births
1998;Eritrea;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1397.7;Annual;number of maternal deaths per 100,000 live births
2001;Eritrea;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1404.2;Annual;number of maternal deaths per 100,000 live births
2002;Eritrea;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1420.8;Annual;number of maternal deaths per 100,000 live births
2007;Eritrea;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1371.8;Annual;number of maternal deaths per 100,000 live births
2011;Eritrea;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1360.9;Annual;number of maternal deaths per 100,000 live births
1994;Somalia;Number of maternal deaths (upper bound);Units;Annual;1912.0;Annual;Number
1996;Somalia;Number of maternal deaths (upper bound);Units;Annual;2007.0;Annual;Number
1999;Somalia;Number of maternal deaths (upper bound);Units;Annual;2265.0;Annual;Number
2002;Somalia;Number of maternal deaths (upper bound);Units;Annual;2481.0;Annual;Number
2007;Somalia;Number of maternal deaths (upper bound);Units;Annual;2645.0;Annual;Number
2009;Somalia;Number of maternal deaths (upper bound);Units;Annual;2668.0;Annual;Number
2011;Somalia;Number of maternal deaths (upper bound);Units;Annual;2705.0;Annual;Number
1999;Chile;Maternal mortality ratio (MMR);Units;Annual;25.5;Annual;number of maternal deaths per 100,000 live births
2001;Chile;Maternal mortality ratio (MMR);Units;Annual;22.1;Annual;number of maternal deaths per 100,000 live births
2006;Chile;Maternal mortality ratio (MMR);Units;Annual;22.3;Annual;number of maternal deaths per 100,000 live births
2008;Chile;Maternal mortality ratio (MMR);Units;Annual;21.8;Annual;number of maternal deaths per 100,000 live births
2011;Chile;Maternal mortality ratio (MMR);Units;Annual;19.1;Annual;number of maternal deaths per 100,000 live births
1993;Suriname;Maternal mortality ratio (MMR) (lower bound);Units;Annual;60.5;Annual;number of maternal deaths per 100,000 live births
1994;Suriname;Maternal mortality ratio (MMR) (lower bound);Units;Annual;59.5;Annual;number of maternal deaths per 100,000 live births
1991;Argentina;Maternal mortality ratio (MMR) (lower bound);Units;Annual;55.0;Annual;number of maternal deaths per 100,000 live births
1995;Argentina;Maternal mortality ratio (MMR) (lower bound);Units;Annual;51.8;Annual;number of maternal deaths per 100,000 live births
1999;Argentina;Maternal mortality ratio (MMR) (lower bound);Units;Annual;58.2;Annual;number of maternal deaths per 100,000 live births
1990;Equatorial Guinea;Number of maternal deaths (upper bound);Units;Annual;134.0;Annual;Number
1993;Equatorial Guinea;Number of maternal deaths (upper bound);Units;Annual;150.0;Annual;Number
1998;Equatorial Guinea;Number of maternal deaths (upper bound);Units;Annual;145.0;Annual;Number
1999;Equatorial Guinea;Number of maternal deaths (upper bound);Units;Annual;135.0;Annual;Number
2002;Equatorial Guinea;Number of maternal deaths (upper bound);Units;Annual;108.0;Annual;Number
2003;Equatorial Guinea;Number of maternal deaths (upper bound);Units;Annual;103.0;Annual;Number
2008;Equatorial Guinea;Number of maternal deaths (upper bound);Units;Annual;86.0;Annual;Number
2000;Colombia;Number of maternal deaths (lower bound);Units;Annual;646.0;Annual;Number
2003;Colombia;Number of maternal deaths (lower bound);Units;Annual;588.0;Annual;Number
1991;Iraq;Number of maternal deaths (upper bound);Units;Annual;1762.0;Annual;Number
1992;Iraq;Number of maternal deaths (upper bound);Units;Annual;1791.0;Annual;Number
1993;Iraq;Number of maternal deaths (upper bound);Units;Annual;1834.0;Annual;Number
